X;Y;Z
-0.5882416;0.9242401;0.27590942
-0.7554321;10.349.426;0.5198059
0.023651123;0.14660645;-0.09526062
-12.966.461;0.3534088;-0.5702057
-0.057144165;-0.6950836;-0.6723633
0.12840271;-0.6614075;-0.27626038
10.734.558;-0.046432495;-0.044784546
0.7957611;0.010925293;-0.23350525
0.67663574;-0.9798126;0.42573547
0.8892212;-0.6921234;-0.10005188
0.7154541;-0.44509888;-0.30273438
0.13607788;-0.4718933;-0.60502625
0.10862732;-0.70532227;0.043823242
0.83551025;-0.2772522;0.13793945
0.21188354;0.40890503;0.78697205
-12.433.777;0.06324768;0.79356384
-10.318.146;-0.18327332;-0.1829071
-0.5967407;0.72109985;-0.16163635
-0.20043945;18.784.027;-0.13656616
-0.32521057;16.073.303;-0.11352539
-0.54759216;11.985.321;0.38604736
-0.80023193;0.87265015;0.69363403
-0.24461365;0.2730713;-0.18887329
-0.95077515;0.5499878;-0.61598206
0.34692383;-0.75964355;-0.58143616
-0.25483704;-0.2434845;-0.4918518
11.834.564;0.066223145;-0.27713013
0.9026947;-0.4093628;-0.20075989
10.834.808;-14.557.953;0.6493683
11.726.074;-11.924.133;-0.11325073
0.7994385;-0.79608154;-0.3633728
0.14372253;-0.48358154;-0.6316986
0.056228638;-0.491745;0.08416748
0.8678589;0.11375427;0.24690247
0.38389587;0.44540405;0.5714569
-13.886.261;-0.08506775;0.71058655
-0.7697296;-0.10255432;0.48143005
-0.8317261;0.4863739;-0.28656006
-0.33920288;1.750.946;-0.2559967
-0.68414307;12.598.877;-0.084228516
-0.7633209;0.793808;0.25001526
-0.6351929;0.6449127;0.38789368
-0.49064636;0.57554626;0.16596985
0.103378296;0.14929199;-0.6339874
-11.557.007;-2.108.017;-0.8065491
0.1797638;-0.25712585;-0.32151794
10.381.012;0.15562439;0.012649536
0.9744568;0.1791687;-0.004135132
0.8856354;-0.75242615;0.6232605
10.915.222;-1.232.193;-0.059936523
0.7491455;-11.235.809;-0.5415344
0.21643066;-1.083.435;-0.55107117
0.03590393;-0.9077301;0.051818848
0.6080322;0.44914246;0.45793152
0.47297668;0.91693115;0.5520172
-0.59358215;0.35011292;10.580.444
-0.95373535;0.26667786;0.25343323
-0.9647217;0.67907715;-0.4706726
-0.5104523;16.589.661;-0.043151855
-0.417099;16.768.799;0.016098022
-0.6188202;11.218.414;0.20643616
-0.66796875;0.777298;0.5214081
-0.2715454;0.5592041;0.06655884
-0.6840668;-0.46925354;-0.81100464
-0.5766144;-17.242.737;-0.78933716
0.7689209;-10.940.247;-0.57666016
10.708.466;-0.10185242;-0.6380005
10.833.282;-0.119903564;0.1879425
10.102.539;-0.43859863;0.4447937
0.80397034;-0.44036865;-0.17259216
0.29418945;-0.4081726;-0.4295349
0.089920044;-0.536026;-0.14178467
0.42504883;0.07476807;-0.012557983
